# ScrapLinux package manifest
# repo	name	version	buildsys	license	depends	makedepends	url	source	desc
#
# Recipes are generated from this file by gen-ports.py. A package with a
# hand-written recipe (the core of main, the kernels) is listed here too so the
# repository indexes and dependency data stay complete, but its recipe is left
# alone.
#
# {version} and {V_} expand in the source column. "-" means none.
#
# =============================================================== main
# Everything needed to install ScrapLinux and boot it.
main	glibc	2.44	autotools	LGPL-2.1-or-later	linux-headers	gcc,bison,python	https://www.gnu.org/software/libc/	https://ftp.gnu.org/gnu/glibc/glibc-{version}.tar.xz	The GNU C library, the standard C library implementation for Linux
main	linux-headers	7.1.3	make	GPL-2.0-only WITH Linux-syscall-note	-	-	https://kernel.org/	https://cdn.kernel.org/pub/linux/kernel/v7.x/linux-{version}.tar.xz	Kernel headers for userspace
main	gcc-libs	15.3.0	autotools	GPL-3.0-or-later WITH GCC-exception-3.1	glibc	-	https://gcc.gnu.org/	https://ftp.gnu.org/gnu/gcc/gcc-{version}/gcc-{version}.tar.xz	libstdc++ and libgcc_s runtime only, required by the NVIDIA driver
main	libglvnd	1.7.0	meson	MIT	glibc,libx11,libxext	meson,ninja	https://gitlab.freedesktop.org/glvnd/libglvnd	https://gitlab.freedesktop.org/glvnd/libglvnd/-/archive/v{version}/libglvnd-v{version}.tar.gz	GL vendor dispatch, so mesa and NVIDIA can both provide GL
main	libepoxy	1.5.10	meson	MIT	glibc,libx11	meson,ninja,python	https://github.com/anholt/libepoxy	https://github.com/anholt/libepoxy/archive/refs/tags/{version}.tar.gz	GL function pointer dispatch, needed by Xorg's glamor 2D acceleration
main	busybox	1.38.0	make	GPL-2.0-only	glibc	-	https://busybox.net/	https://busybox.net/downloads/busybox-{version}.tar.bz2	Init, getty, device manager and network tools
main	genfstab	1.0.0	make	GPL-3.0-or-later	busybox,util-linux	-	https://github.com/apiwo/scraplinux	-	Write /etc/fstab from the live mount table
main	toybox	0.8.14	make	0BSD	glibc	-	https://landley.net/toybox/	https://landley.net/toybox/downloads/toybox-{version}.tar.gz	The classic Unix commands, BSD licensed
main	zsh	5.9.2	autotools	MIT-Modern-Variant	glibc,netbsd-curses	clang,lld	https://www.zsh.org/	https://www.zsh.org/pub/zsh-{version}.tar.xz	A powerful interactive shell with extensive scripting features, ScrapLinux's login shell
main	doas	6.8.2	autotools	ISC	glibc,libxcrypt	clang	https://github.com/Duncaen/OpenDoas	https://github.com/Duncaen/OpenDoas/archive/refs/tags/v{version}.tar.gz	Run commands as another user
main	netbsd-curses	0.3.2	make	BSD-3-Clause	glibc	-	https://github.com/sabotage-linux/netbsd-curses	https://github.com/sabotage-linux/netbsd-curses/archive/refs/tags/v{version}.tar.gz	NetBSD curses, replacing ncurses
main	libxcrypt	4.5.2	autotools	LGPL-2.1-or-later	glibc	-	https://github.com/besser82/libxcrypt	https://github.com/besser82/libxcrypt/releases/download/v{version}/libxcrypt-{version}.tar.xz	crypt(), which glibc no longer provides
main	pam	1.7.2	meson	BSD-3-Clause	glibc,libxcrypt	meson,ninja	https://github.com/linux-pam/linux-pam	https://github.com/linux-pam/linux-pam/releases/download/v{version}/Linux-PAM-{version}.tar.xz	Pluggable authentication modules
main	libmd	1.1.0	autotools	BSD-3-Clause	glibc	-	https://www.hadrons.org/software/libmd/	https://archive.hadrons.org/software/libmd/libmd-{version}.tar.xz	BSD message digest functions
main	libbsd	0.12.2	autotools	BSD-3-Clause	glibc,libmd	-	https://libbsd.freedesktop.org/	https://libbsd.freedesktop.org/releases/libbsd-{version}.tar.xz	BSD compatibility library, needed by Xorg's modesetting driver and libglx
main	libarchive	3.8.9	cmake	BSD-2-Clause	glibc,zlib,xz,zstd,libmd	cmake,ninja	https://libarchive.org/	https://github.com/libarchive/libarchive/archive/refs/tags/v{version}.tar.gz	Archive library, provides bsdtar
main	mandoc	1.14.6	autotools	ISC	glibc	-	https://mandoc.bsd.lv/	https://mandoc.bsd.lv/snapshots/mandoc-{version}.tar.gz	Manual reader, replacing man-db and groff
main	onetrueawk	20260426	make	MIT	glibc	byacc	https://github.com/onetrueawk/awk	https://github.com/onetrueawk/awk/archive/refs/tags/{version}.tar.gz	The one true awk
main	bmake	20260714	make	BSD-3-Clause	glibc	-	https://www.crufty.net/help/sjg/bmake.html	http://www.crufty.net/ftp/pub/sjg/bmake-{version}.tar.gz	The BSD make, replacing GNU make
main	byacc	20260426	autotools	Public-Domain	glibc	-	https://invisible-island.net/byacc/	https://invisible-island.net/datafiles/release/byacc.tar.gz	Berkeley yacc, replacing bison
main	zlib	1.3.1	autotools	Zlib	glibc	-	https://zlib.net/	https://github.com/madler/zlib/releases/download/v{version}/zlib-{version}.tar.gz	Compression library
